"seller","day_of_week","income"
Ann Dull,Friday   ,33086.0
Dirk Stringer,Saturday ,17511.0
Cheryl Carson,Tuesday  ,9186.0
Michael O'Leary,Saturday ,25394.0
Ann Dull,Sunday   ,35300.0
Livia Karsen,Saturday ,11969.0
Meander Smith,Friday   ,13700.0
Ann Dull,Wednesday,39844.0
Ann Dull,Wednesday,34960.0
Michael O'Leary,Sunday   ,26147.0
Burt Gringlesby,Wednesday,23050.0
Albert Ringer,Friday   ,29792.0
Michael O'Leary,Monday   ,16742.0
Dean Straight,Tuesday  ,19645.0
Dirk Stringer,Friday   ,16917.0
Sheryl Hunter,Friday   ,18883.0
Reginald Blotchet-Halls,Thursday ,21221.0
Heather McBadden,Wednesday,26888.0
Ann Dull,Tuesday  ,36106.0
Heather McBadden,Thursday ,18136.0
Meander Smith,Monday   ,9653.0
Burt Gringlesby,Monday   ,21933.0
Burt Gringlesby,Tuesday  ,15679.0
Stearns MacFeather,Wednesday,16952.0
Heather McBadden,Monday   ,14211.0
Marjorie Green,Thursday ,29567.0
Dirk Stringer,Tuesday  ,21453.0
Ann Dull,Sunday   ,34880.0
Anne Ringer,Monday   ,9062.0
Abraham Bennet,Monday   ,42297.0
Heather McBadden,Friday   ,17266.0
Sylvia Panteley,Friday   ,19668.0
Reginald Blotchet-Halls,Thursday ,17200.0
Abraham Bennet,Tuesday  ,55420.0
Michel DeFrance,Wednesday,30967.0
Burt Gringlesby,Saturday ,19850.0
Marjorie Green,Wednesday,24151.0
Abraham Bennet,Friday   ,40492.0
Heather McBadden,Tuesday  ,19873.0
Innes del Castillo,Wednesday,23634.0
Sheryl Hunter,Sunday   ,18495.0
Cheryl Carson,Sunday   ,12677.0
Reginald Blotchet-Halls,Wednesday,16797.0
Innes del Castillo,Tuesday  ,28576.0
Anne Ringer,Saturday ,11590.0
Reginald Blotchet-Halls,Friday   ,15534.0
Marjorie Green,Wednesday,24606.0
Sylvia Panteley,Monday   ,19880.0
Charlene Locksley,Wednesday,28671.0
Burt Gringlesby,Friday   ,23465.0
Michel DeFrance,Sunday   ,25446.0
Meander Smith,Wednesday,12780.0
Stearns MacFeather,Friday   ,16522.0
Charlene Locksley,Friday   ,25117.0
Sheryl Hunter,Wednesday,21414.0
Sylvia Panteley,Friday   ,18863.0
Sylvia Panteley,Friday   ,21642.0
Sylvia Panteley,Wednesday,21552.0
Burt Gringlesby,Monday   ,24461.0
Ann Dull,Tuesday  ,27949.0
Stearns MacFeather,Tuesday  ,15654.0
Johnson White,Friday   ,31043.0
Stearns MacFeather,Thursday ,17369.0
Marjorie Green,Thursday ,27560.0
Sheryl Hunter,Sunday   ,15606.0
Marjorie Green,Friday   ,33985.0
Albert Ringer,Tuesday  ,34378.0
Morningstar Greene,Wednesday,18271.0
Burt Gringlesby,Tuesday  ,20306.0
Johnson White,Monday   ,34311.0
Marjorie Green,Saturday ,33455.0
Sylvia Panteley,Sunday   ,25033.0
Abraham Bennet,Saturday ,44432.0
Livia Karsen,Friday   ,14383.0
Innes del Castillo,Wednesday,17481.0
Albert Ringer,Sunday   ,30612.0
Albert Ringer,Sunday   ,30332.0
Burt Gringlesby,Wednesday,20171.0
Innes del Castillo,Tuesday  ,25243.0
Abraham Bennet,Thursday ,52218.0
Anne Ringer,Monday   ,8796.0
Johnson White,Wednesday,25718.0
Charlene Locksley,Monday   ,27498.0
Morningstar Greene,Thursday ,16278.0
Marjorie Green,Thursday ,20908.0
Livia Karsen,Wednesday,13133.0
Johnson White,Wednesday,25945.0
Albert Ringer,Monday   ,40535.0
Morningstar Greene,Friday   ,14837.0
Burt Gringlesby,Sunday   ,18121.0
Dirk Stringer,Thursday ,16689.0
Reginald Blotchet-Halls,Sunday   ,19523.0
Marjorie Green,Saturday ,26851.0
Burt Gringlesby,Tuesday  ,22904.0
Sylvia Panteley,Tuesday  ,24976.0
Reginald Blotchet-Halls,Sunday   ,20134.0
Reginald Blotchet-Halls,Thursday ,22421.0
Sheryl Hunter,Wednesday,16382.0
Burt Gringlesby,Sunday   ,21666.0
Charlene Locksley,Saturday ,20560.0
Dean Straight,Saturday ,20387.0
Stearns MacFeather,Sunday   ,11179.0
Ann Dull,Tuesday  ,36703.0
Dean Straight,Friday   ,21813.0
Charlene Locksley,Saturday ,27707.0
Meander Smith,Thursday ,10653.0
Morningstar Greene,Monday   ,14951.0
Dean Straight,Tuesday  ,18432.0
Morningstar Greene,Thursday ,15797.0
Meander Smith,Tuesday  ,10887.0
Heather McBadden,Sunday   ,22010.0
Ann Dull,Friday   ,34300.0
Albert Ringer,Sunday   ,30504.0
Reginald Blotchet-Halls,Sunday   ,19879.0
Reginald Blotchet-Halls,Tuesday  ,23184.0
Johnson White,Friday   ,20919.0
Charlene Locksley,Tuesday  ,22815.0
Morningstar Greene,Wednesday,13806.0
Marjorie Green,Thursday ,30367.0
Meander Smith,Saturday ,11780.0
Michel DeFrance,Thursday ,23206.0
Dirk Stringer,Saturday ,17601.0
Dirk Stringer,Saturday ,18573.0
Innes del Castillo,Friday   ,18958.0
Sheryl Hunter,Friday   ,17920.0
Sylvia Panteley,Tuesday  ,15356.0
Albert Ringer,Saturday ,34810.0
Reginald Blotchet-Halls,Tuesday  ,20909.0
Michael O'Leary,Wednesday,21003.0
Anne Ringer,Sunday   ,10511.0
Burt Gringlesby,Tuesday  ,24402.0
Dean Straight,Tuesday  ,22051.0
Dirk Stringer,Friday   ,24291.0
Michel DeFrance,Monday   ,25772.0
Morningstar Greene,Thursday ,19154.0
Heather McBadden,Friday   ,19389.0
Morningstar Greene,Saturday ,16342.0
Marjorie Green,Tuesday  ,30366.0
Reginald Blotchet-Halls,Saturday ,15022.0
Michael O'Leary,Friday   ,22696.0
Meander Smith,Friday   ,11458.0
Michel DeFrance,Saturday ,30821.0
Livia Karsen,Thursday ,14867.0
Burt Gringlesby,Friday   ,17257.0
Dean Straight,Sunday   ,19766.0
Ann Dull,Saturday ,31233.0
Reginald Blotchet-Halls,Monday   ,17094.0
Michel DeFrance,Thursday ,29905.0
Abraham Bennet,Thursday ,49729.0
Sheryl Hunter,Friday   ,22033.0
Meander Smith,Tuesday  ,11347.0
Meander Smith,Wednesday,11132.0
Johnson White,Tuesday  ,29554.0
Johnson White,Friday   ,32515.0
Ann Dull,Wednesday,38182.0
Abraham Bennet,Monday   ,59756.0
Albert Ringer,Sunday   ,34252.0
Meander Smith,Wednesday,8887.0
Cheryl Carson,Friday   ,19581.0
Sylvia Panteley,Saturday ,16014.0
Michael O'Leary,Monday   ,22276.0
Morningstar Greene,Friday   ,14252.0
Dirk Stringer,Sunday   ,18426.0
Innes del Castillo,Friday   ,22341.0
Albert Ringer,Friday   ,38942.0
Morningstar Greene,Monday   ,18314.0
Burt Gringlesby,Friday   ,28513.0
Reginald Blotchet-Halls,Saturday ,20303.0
Albert Ringer,Friday   ,34010.0
Albert Ringer,Tuesday  ,28227.0
Anne Ringer,Wednesday,12137.0
Charlene Locksley,Thursday ,21929.0
Morningstar Greene,Tuesday  ,14115.0
Innes del Castillo,Monday   ,21009.0
Sheryl Hunter,Wednesday,16346.0
Sheryl Hunter,Friday   ,18877.0
Charlene Locksley,Wednesday,24840.0
Anne Ringer,Wednesday,8249.0
Cheryl Carson,Wednesday,11046.0
Morningstar Greene,Friday   ,12449.0
Heather McBadden,Friday   ,18113.0
Livia Karsen,Wednesday,14063.0
Stearns MacFeather,Sunday   ,17454.0
Anne Ringer,Monday   ,9402.0
Morningstar Greene,Friday   ,21133.0
Marjorie Green,Monday   ,31210.0
Innes del Castillo,Wednesday,28402.0
Albert Ringer,Saturday ,28153.0
Michel DeFrance,Tuesday  ,26523.0
Livia Karsen,Friday   ,11766.0
Sheryl Hunter,Wednesday,20277.0
Anne Ringer,Tuesday  ,11590.0
Abraham Bennet,Friday   ,44363.0
Heather McBadden,Friday   ,20668.0
Michael O'Leary,Friday   ,21980.0
Marjorie Green,Friday   ,24351.0
Marjorie Green,Tuesday  ,30801.0
Cheryl Carson,Wednesday,14066.0
Michel DeFrance,Saturday ,29199.0
Sheryl Hunter,Monday   ,20980.0
Johnson White,Saturday ,37867.0
Sheryl Hunter,Thursday ,21181.0
Cheryl Carson,Sunday   ,12614.0
Dean Straight,Monday   ,26676.0
Michel DeFrance,Tuesday  ,19437.0
Sheryl Hunter,Wednesday,19363.0
Heather McBadden,Saturday ,20483.0
Ann Dull,Tuesday  ,37094.0
